t: 0, w: 1.00000000000000
t: 0.100000000000000, w: 1.01481250000000
t: 0.200000000000000, w: 1.05716187623087
t: 0.300000000000000, w: 1.12166445268394
t: 0.400000000000000, w: 1.20144753207246
t: 0.500000000000000, w: 1.28976952241963
t: 0.600000000000000, w: 1.38090152535181
t: 0.700000000000000, w: 1.47039206855783
t: 0.800000000000000, w: 1.55501418625495
t: 0.900000000000000, w: 1.63260081191905
t: 1.00000000000000, w: 1.7018615673418
