t: 0, w: 1.00000000000000
t: 0.100000000000000, w: 1.01500000000000
t: 0.200000000000000, w: 1.05817399689762
t: 0.300000000000000, w: 1.12373298368812
t: 0.400000000000000, w: 1.20441885136525
t: 0.500000000000000, w: 1.29330703242580
t: 0.600000000000000, w: 1.38465294481164
t: 0.700000000000000, w: 1.47406706296713
t: 0.800000000000000, w: 1.55840338022698
t: 0.900000000000000, w: 1.63557009721487
t: 1.00000000000000, w: 1.70433946274416
